PreyClass,PreyOrder,PreyFamily,PreySP,habitat_combi,vert_habitat,horz_habitat,diel_migrant,refuge,phys_defense,TrophicLevel,body_shape,max_fo
Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes helvomaculatus,continental demersal,demersal,continental shelf,1,1,1,3.7,fusiform ,0
Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes maliger,reef-associated,demersal,reef-associated,1,1,1,3.84,fusiform ,0
Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes miniatus,reef-associated,demersal,reef-associated,1,1,1,3.9,fusiform ,0
Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes proriger,continental demersal,demersal,continental shelf,1,1,1,3.8,fusiform ,1
Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes wilsoni,continental demersal,demersal,continental shelf,1,1,1,3.6,fusiform ,1
Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes zacentrus,continental demersal,demersal,continental shelf,1,1,1,3.7,fusiform ,0
Actinopterygii,Scorpaeniformes,Triglidae,Eutrigla gurnardus,continental demersal,demersal,continental shelf,0,1,1,3.87,elongated,4
Actinopterygii,Stephanoberyciformes,Melamphaidae,Melamphaes lugubris,mesopelagic,mesopelagic,oceanic,1,0,1,3.8,fusiform ,5.9
Actinopterygii,Stephanoberyciformes,Melamphaidae,Scopelogadus mizolepis bispinosus,mesopelagic,mesopelagic,oceanic,1,0,1,3.5,fusiform ,2.7
Actinopterygii,Stomiiformes,Phosichthyidae,Vinciguerria lucetia,mesopelagic,mesopelagic,oceanic,1,0,0,3.2,elongated,20.1
Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus olfersii,mesopelagic,mesopelagic,oceanic,1,0,1,3.36,compressiform,100
Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus imperatorius,mesopelagic,mesopelagic,oceanic,1,0,0,3.1,compressiform,4.2
Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus muelleri,mesopelagic,mesopelagic,continental shelf,1,0,0,3.01,elongated,85.71
Actinopterygii,Stomiiformes,Sternoptychidae,Sternoptyx diaphana,mesopelagic,mesopelagic,oceanic,1,0,0,3.44,compressiform,44.44
Actinopterygii,Stomiiformes,Sternoptychidae,Sternoptyx obscura,mesopelagic,mesopelagic,oceanic,1,0,0,3.3,compressiform,1
Actinopterygii,Stomiiformes,Stomiidae,Bathophilus flemingi,mesopelagic,mesopelagic,oceanic,1,0,0,3.5,elongated,0.5
Actinopterygii,Stomiiformes,Stomiidae,Melanostomias valdiviae,mesopelagic,mesopelagic,oceanic,1,0,0,4.2,elongated,0
Actinopterygii,Stomiiformes,Stomiidae,Photonectes margarita,mesopelagic,mesopelagic,oceanic,1,0,0,4.03,elongated,0
Actinopterygii,Sygnathiformes,Centriscidae,Macroramphosus scolopax,continental demersal,demersal,continental shelf,1,1,1,3.47,elongated,30
Actinopterygii,Syngnathiformes,Syngnathidae,Entelurus aequoreus,continental demersal,demersal,continental shelf,0,1,0,3.539999962,eel-like,41
Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus californiensis,reef-associated,demersal,reef-associated,UN,1,0,3.37,eel-like,1
Actinopterygii,Tetraodontiformes,Ostaciidae,Lactoria diaphana,reef-associated,demersal,reef-associated,UN,1,0,3.3,globiform,0.3
Cephalopoda,Decapodiformes,Chtenopterygidae,Chtenopteryx sicula,mesopelagic,mesopelagic,oceanic,1,0,0,4.03,fusiform ,33.33
Cephalopoda,Myopsida,Loliginidae,Alloteuthis subulata,continental demersal,demersal,continental shelf,0,1,0,4.5,fusiform ,1
Cephalopoda,Myopsida,Loliginidae,Doryteuthis opalescens,coastal epipelagic,epipelagic,continental shelf,1,0,0,3.74,fusiform ,13.4
Cephalopoda,Octopoda,Alloposidae,Haliphron atlanticus,mesopelagic,mesopelagic,continental slope,1,0,0,3.85,fusiform ,5
Cephalopoda,Octopoda,Amphitretidae,Japetella diaphana,mesopelagic,mesopelagic,oceanic,1,0,0,3.58,globiform,4
Cephalopoda,Octopoda,Amphitretidae,Japetella heathi,mesopelagic,mesopelagic,oceanic,1,1,0,NA,globiform,7
Cephalopoda,Octopoda,Argonautidae,Argonauta argo,coastal epipelagic,epipelagic,coastal,1,0,1,4.5,compressiform,13.11
Cephalopoda,Octopoda,Argonautidae,Argonauta nodosus,oceanic epipelagic,epipelagic,oceanic,1,0,1,NA,compressiform,5
Cephalopoda,Octopoda,Argonautidae,Argonauta nouryi,coastal epipelagic,epipelagic,coastal,1,0,1,3.44,compressiform,0.5
Cephalopoda,Octopoda,Eledonidae,Eledone cirrhosa,coastal epipelagic,epipelagic,coastal,1,1,0,3.7,globiform,8
Cephalopoda,Octopoda,Incirrata,Octopus vulgaris,reef-associated,benthic,reef-associated,1,1,0,3.74,globiform,16.67
Cephalopoda,Octopoda,Octopodidae,Octopus bimaculatus,reef-associated,benthic,reef-associated,0,1,0,3.44,globiform,15.9
Cephalopoda,Octopoda,Octopodidae,Pteroctopus tetracirrhus,continental benthic,benthic,continental shelf,1,0,0,3.73,globiform,24
Cephalopoda,Octopoda,Octopodidae,Scaeurgus unicirrhus,continental benthic,benthic,continental shelf,1,1,0,NA,globiform,5
Cephalopoda,Octopoda,Opisthoteuthidae,Opisthoteuthis californiana,benthopelagic,benthopelagic,continental slope,1,1,0,NA,globiform,0.5
Cephalopoda,Octopoda,Tremoctopodidae,Tremoctopus violaceus,oceanic epipelagic,epipelagic,oceanic,1,0,0,NA,unique,21.31
Cephalopoda,Oegopsida,Ancistrocheiridae,Ancistrocheirus lesueurii,mesopelagic,mesopelagic,oceanic,1,0,0,NA,fusiform ,7
Cephalopoda,Oegopsida,Brachioteuthidae,Brachioteuthis riisei,bathypelagic,bathypelagic,oceanic,1,0,0,3.2,fusiform ,29.63
Cephalopoda,Oegopsida,Chiroteuthidae,Chiroteuthis veranii,mesopelagic,mesopelagic,oceanic,1,1,0,4.04,fusiform ,36.06
Cephalopoda,Oegopsida,Cracnhiidae,Cranchia scarbra,mesopelagic,mesopelagic,oceanic,UN,0,0,3.57,globiform,0.7
Cephalopoda,Oegopsida,Cranchiidae,Galiteuthis armata,bathypelagic,bathypelagic,oceanic,1,0,0,NA,fusiform ,54.29
Cephalopoda,Oegopsida,Cranchiidae,Galiteuthis phyllura,bathypelagic,bathypelagic,continental slope,1,1,0,NA,fusiform ,0
Cephalopoda,Oegopsida,Cranchiidae,Helicocranchia pfefferi,mesopelagic,mesopelagic,continental shelf,0,0,0,NA,globiform,7.41
Cephalopoda,Oegopsida,Cranchiidae,Liocranchia reinhardti,mesopelagic,mesopelagic,oceanic,1,0,0,4.5,globiform,1.85
Cephalopoda,Oegopsida,Cranchiidae,Teuthowenia megalops,mesopelagic,mesopelagic,oceanic,1,0,0,NA,fusiform ,16.67
Cephalopoda,Oegopsida,Enoploteuthidae,Abralia redfieldi,oceanic epipelagic,epipelagic,oceanic,1,0,0,NA,fusiform ,5
Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis affinis,oceanic epipelagic,epipelagic,oceanic,1,0,0,NA,fusiform ,1.16
Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis felis,oceanic epipelagic,epipelagic,oceanic,1,0,0,NA,fusiform ,36.4
Cephalopoda,Oegopsida,Gonatidae,Berryteuthis anonychus,oceanic epipelagic,epipelagic,oceanic,1,1,0,NA,fusiform ,38.5
Cephalopoda,Oegopsida,Gonatidae,Gonatopsis borealis,mesopelagic,mesopelagic,continental shelf,1,1,0,NA,fusiform ,28.8
Cephalopoda,Oegopsida,Gonatidae,Gonatus berryi,mesopelagic,mesopelagic,continental shelf,1,1,0,NA,fusiform ,1.5
Cephalopoda,Oegopsida,Gonatidae,Gonatus californiensis,mesopelagic,mesopelagic,continental shelf,1,1,0,NA,fusiform ,0
Cephalopoda,Oegopsida,Gonatidae,Gonatus onyx,mesopelagic,mesopelagic,continental shelf,1,1,0,NA,fusiform ,1
Cephalopoda,Oegopsida,Gonatidae,Gonatus pyros,mesopelagic,mesopelagic,continental shelf,1,1,0,NA,fusiform ,0
Cephalopoda,Oegopsida,Gonatidae,Gonatus steenstrupi,mesopelagic,mesopelagic,oceanic,1,0,0,NA,fusiform ,23.5
Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis bonnellii,mesopelagic,mesopelagic,oceanic,1,0,0,4.16,fusiform ,63.2
Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis heteropsis,mesopelagic,mesopelagic,oceanic,1,1,0,NA,fusiform ,1.5
Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis reversa,mesopelagic,mesopelagic,oceanic,1,0,0,4.11,fusiform ,28
Cephalopoda,Oegopsida,Lycoteuthidae,Lycoteuthis lorigera,mesopelagic,mesopelagic,continental slope,1,0,0,NA,fusiform ,12
Cephalopoda,Oegopsida,Mastigoteuthidae,Mastigoteuthis dentata,mesopelagic,mesopelagic,oceanic,UN,1,0,NA,fusiform ,22.5
Cephalopoda,Oegopsida,Octopoteuthidae,Octopoteuthis nielseni,mesopelagic,mesopelagic,oceanic,1,1,0,NA,fusiform ,0.33
Cephalopoda,Oegopsida,Octopoteuthidae,Octopoteuthis sicula,mesopelagic,mesopelagic,oceanic,1,0,0,NA,fusiform ,32.7
Cephalopoda,Oegopsida,Ocythoidae,Ocythoe tuberculata,oceanic epipelagic,epipelagic,oceanic,1,0,0,NA,globiform,17.2
Cephalopoda,Oegopsida,Ommastrephidae,Dosidicus gigas,mesopelagic,mesopelagic,continental shelf,1,0,0,4.15,fusiform ,1.16
Cephalopoda,Oegopsida,Ommastrephidae,Eucleoteuthis luminosa,oceanic epipelagic,epipelagic,oceanic,1,0,0,4.1,fusiform ,0
Cephalopoda,Oegopsida,Ommastrephidae,Hyaloteuthis pelagica,mesopelagic,mesopelagic,oceanic,1,0,0,3.8,fusiform ,2.9
Cephalopoda,Oegopsida,Ommastrephidae,Illex argentinus,oceanic epipelagic,epipelagic,oceanic,1,0,0,3.82,fusiform ,12
Cephalopoda,Oegopsida,Ommastrephidae,Illex coindetii,mesopelagic,mesopelagic,continental slope,1,0,0,3.94,fusiform ,10.3
Cephalopoda,Oegopsida,Ommastrephidae,Ommastrephes bartramii,oceanic epipelagic,epipelagic,oceanic,1,0,0,4.37,fusiform ,5
Cephalopoda,Oegopsida,Ommastrephidae,Ornithoteuthis antillarum,mesopelagic,mesopelagic,continental shelf,1,0,0,4.14,fusiform ,12
Cephalopoda,Oegopsida,Ommastrephidae,Ornithoteuthis volatilis,mesopelagic,mesopelagic,continental slope,1,1,0,3.67,fusiform ,4.8
