PreySP,max_fo,ave_fo,class,family
Tetragonurus atlanticus,14.29,10.51,Actinopterygii,Tetragonuridae
Tetragonurus cuvieri,0.6,0.6,Actinopterygii,Tetragonuridae
Teuthowenia megalops,16.67,6.68,Cephalopoda,Cranchiidae
Thaleichthys pacificus,0,0,Actinopterygii,Osmeridae
Themisto gaudichaudii,54.3,12.05,Malacostraca,Hyperiidae
Todarodes pacificus,1.5,1.5,Cephalopoda,Ommastrephidae
Todarodes sagittatus,73.7,26.4,Cephalopoda,Ommastrephidae
Todaropsis eblanae,0,0,Cephalopoda,Ommastrephidae
Trachinotus ovatus,1.85,1.85,Actinopterygii,Carangidae
Trachipterus trachypterus,0,0,Actinopterygii,Trachipteridae
Trachurus japonicus,5.6,5.6,Actinopterygii,Carangidae
Trachurus symmetricus,40.7,12.64,Actinopterygii,Carangidae
Trachurus trachurus,43,21.52,Actinopterygii,Carangidae
Tremoctopus violaceus,21.31,13.16,Cephalopoda,Tremoctopodidae
Triphoturus mexicanus,6.98,3.74,Actinopterygii,Myctophidae
Vampyroteuthis infernalis,0.5,0.25,Cephalopoda,Vampyroteuthidae
Vibilia gibbosa,0,0,Malacostraca,Vibiliidae
Vinciguerria lucetia,20.1,10.3,Actinopterygii,Phosichthyidae
