OceanBasinQ,StudyID,YearSample,YearEnd, LocatLatitude,LocatLongitude,PreyClass,PreyOrder,PreyFamily,PreySP,vert_habitat,horz_habitat,diel_migrant,refuge,phys_defense,body_shape,MAX of pFOuse
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus imperialis,demersal,continental shelf,0,1,0,fusiform ,24.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Scorpaeniformes,Gonatidae,Helicolenus dactylopterus,demersal,continental shelf,UN,0,1,fusiform ,16.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Scorpaeniformes,Triglidae,Eutrigla gurnardus,demersal,continental shelf,0,1,1,elongated,4.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus olfersii,mesopelagic,oceanic,1,0,1,compressiform,28.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus muelleri,mesopelagic,continental shelf,1,0,0,elongated,64.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Stomiiformes,Sternoptychidae,Sternoptyx diaphana,mesopelagic,oceanic,0,0,0,compressiform,4.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Decapodiformes,Chtenopterygidae,Chtenopteryx sicula,mesopelagic,oceanic,1,0,0,fusiform ,12.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Octopoda,Amphitretidae,Japetella diaphana,mesopelagic,oceanic,1,0,0,globiform,4.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Octopoda,Eledonidae,Eledone cirrhosa,epipelagic,coastal,1,1,0,globiform,8.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Octopoda,Incirrata,Octopus vulgaris,benthic,reef-associated,1,1,0,globiform,12.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Oegopsida,Brachioteuthidae,Brachioteuthis riisei,bathypelagic,oceanic,1,0,0,fusiform ,28.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Oegopsida,Chiroteuthidae,Chiroteuthis veranii,mesopelagic,oceanic,1,1,0,fusiform ,16.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Oegopsida,Cranchiidae,Galiteuthis armata,bathypelagic,oceanic,1,0,0,fusiform ,28.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Oegopsida,Cranchiidae,Helicocranchia pfefferi,mesopelagic,continental shelf,0,0,0,globiform,4.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Oegopsida,Cranchiidae,Teuthowenia megalops,mesopelagic,oceanic,1,0,0,fusiform ,8.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis bonnellii,mesopelagic,oceanic,1,0,0,fusiform ,8.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis reversa,mesopelagic,oceanic,1,0,0,fusiform ,28.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Oegopsida,Octopoteuthidae,Octopoteuthis sicula,mesopelagic,oceanic,1,0,0,fusiform ,4.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Oegopsida,Ocythoidae,Ocythoe tuberculata,epipelagic,oceanic,1,0,0,globiform,4.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes sagittatus,benthopelagic,continental shelf,1,0,0,fusiform ,32.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis banksii,epipelagic,oceanic,1,0,0,fusiform ,48.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Cephalopoda,Sepiida,Sepiolidae,Heteroteuthis dispar,mesopelagic,continental slope,1,0,0,globiform,48.00
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Aulopiformes,Chlorothalmidae,Chlorophthalmus agassizi,demersal,continental shelf,0,0,0,elongated,2.86
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Aulopiformes,Paralepididae,Arctozenus risso,mesopelagic,oceanic,1,0,0,elongated,17.14
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Aulopiformes,Paralepididae,Lestidiops sphyrenoides,mesopelagic,oceanic,0,0,0,elongated,8.57
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Aulopiformes,Paralepididae,Paralepis coregonoides,mesopelagic,oceanic,0,0,0,elongated,65.71
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Beloniformes,Belonidae,Belone belone,epipelagic,coastal,0,0,0,elongated,2.86
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Beloniformes,Scomberesocidae,Scomberesox saurus,epipelagic,oceanic,1,0,0,elongated,40.00
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Clupeiformes,Engraulidae,Engraulis encrasicolus,epipelagic,coastal,1,0,0,elongated,14.29
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Gadiformes,Lotidae,Gaidropsarus vulgaris,demersal,continental shelf,0,1,0,elongated,2.86
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus maderensis,mesopelagic,oceanic,1,0,0,elongated,20.00
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Myctophiformes,Myctophidae,Diaphus luetkeni,mesopelagic,oceanic,1,0,0,elongated,2.86
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Myctophiformes,Myctophidae,Electrona rissoi,mesopelagic,oceanic,1,0,0,elongated,5.71
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus crocodilus,bathypelagic,oceanic,1,0,0,elongated,48.57
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus intricarius,mesopelagic,oceanic,1,0,0,elongated,25.71
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Myctophiformes,Myctophidae,Myctophum punctatum,mesopelagic,oceanic,1,0,0,elongated,37.14
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Myctophiformes,Myctophidae,Notoscopelus kroyeri,mesopelagic,oceanic,1,0,0,elongated,2.86
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Perciformes,Blenniidae,Blennius ocellaris,benthic,continental shelf,UN,1,1,elongated,2.86
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Perciformes,Caproidae,Capros aper,demersal,continental shelf,UN,1,1,compressiform,14.29
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Perciformes,Carangidae,Trachurus trachurus,epipelagic,coastal,1,0,1,fusiform ,35.19
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Perciformes,Sparidae,Boops boops,demersal,continental shelf,1,1,1,fusiform ,8.57
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Perciformes,Sparidae,Diplodus sargus,demersal,reef-associated,0,1,1,fusiform ,2.86
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Perciformes,Tetragonuridae,Tetragonurus atlanticus,mesopelagic,oceanic,1,0,1,elongated,14.29
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus imperialis,demersal,continental shelf,0,1,0,fusiform ,14.29
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Scorpaeniformes,Gonatidae,Helicolenus dactylopterus,demersal,continental shelf,UN,0,1,fusiform ,14.29
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus olfersii,mesopelagic,oceanic,1,0,1,compressiform,8.57
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus muelleri,mesopelagic,continental shelf,1,0,0,elongated,85.71
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Stomiiformes,Sternoptychidae,Sternoptyx diaphana,mesopelagic,oceanic,0,0,0,compressiform,31.43
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Actinopterygii,Syngnathiformes,Syngnathidae,Entelurus aequoreus,demersal,continental shelf,0,1,0,eel-like,2.86
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Cephalopoda,Decapodiformes,Chtenopterygidae,Chtenopteryx sicula,mesopelagic,oceanic,1,0,0,fusiform ,11.43
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Cephalopoda,Octopoda,Amphitretidae,Japetella diaphana,mesopelagic,oceanic,1,0,0,globiform,2.86
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Cephalopoda,Oegopsida,Brachioteuthidae,Brachioteuthis riisei,bathypelagic,oceanic,1,0,0,fusiform ,17.14
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Cephalopoda,Oegopsida,Chiroteuthidae,Chiroteuthis veranii,mesopelagic,oceanic,1,1,0,fusiform ,17.14
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Cephalopoda,Oegopsida,Cranchiidae,Galiteuthis armata,bathypelagic,oceanic,1,0,0,fusiform ,54.29
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Cephalopoda,Oegopsida,Cranchiidae,Helicocranchia pfefferi,mesopelagic,continental shelf,0,0,0,globiform,5.71
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Cephalopoda,Oegopsida,Cranchiidae,Teuthowenia megalops,mesopelagic,oceanic,1,0,0,fusiform ,2.86
NE Atlantic,Bouxin&Legendre,1932,1932,61.010401,-11.680527,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis reversa,mesopelagic,oceanic,1,0,0,fusiform ,8.57
